Symbol,Type,Volume,Open Price,S/L,Close Price,Open Time,Close Time,Commission,Profit
XAUUSD,sell,1.0,2056.25,2058.05,2057.981,2026.07.13 20:15:00,2026.07.14 00:15:00,-3.5,-17.31
XAUUSD,buy,0.5,2055.48,2052.08,2062.71683,2026.07.14 09:30:00,2026.07.14 13:30:00,-1.75,36.18
EURUSD,buy,2.0,1.07471,1.07261,1.07291,2026.07.14 13:30:00,2026.07.14 15:05:00,-7.0,-360.12
GBPUSD,sell,0.5,1.27203,1.27483,1.27457,2026.07.14 21:30:00,2026.07.14 22:08:00,-1.75,-127.18
EURUSD,sell,2.0,1.07584,1.07714,1.07369,2026.07.15 22:00:00,2026.07.15 23:35:00,-7.0,430.09
EURUSD,sell,1.0,1.07739,1.07919,1.07906,2026.07.16 21:45:00,2026.07.16 21:49:00,-3.5,-166.71
EURUSD,buy,0.5,1.08053,1.07743,1.07746,2026.07.17 08:45:00,2026.07.17 18:45:00,-1.75,-153.57
EURUSD,buy,1.0,1.07924,1.07674,1.08318,2026.07.17 09:45:00,2026.07.17 13:45:00,-3.5,394.39
XAUUSD,buy,2.0,2051.24,2049.34,2049.54063,2026.07.17 16:30:00,2026.07.17 18:05:00,-7.0,-33.99
GBPUSD,buy,1.0,1.26884,1.26574,1.27329,2026.07.17 10:00:00,2026.07.17 20:00:00,-3.5,445.08
GBPUSD,sell,1.0,1.2691,1.2716,1.27132,2026.07.20 22:30:00,2026.07.20 22:34:00,-3.5,-221.64
GBPUSD,buy,0.5,1.27132,1.27002,1.27013,2026.07.20 22:45:00,2026.07.20 22:56:00,-1.75,-59.69
GBPUSD,buy,0.5,1.26523,1.26283,1.26303,2026.07.20 07:30:00,2026.07.20 11:30:00,-1.75,-110.2
GBPUSD,sell,0.5,1.27575,1.27905,1.27214,2026.07.20 20:45:00,2026.07.20 21:23:00,-1.75,180.44
XAUUSD,buy,2.0,2052.25,2048.95,2049.35094,2026.07.21 20:30:00,2026.07.21 21:08:00,-7.0,-57.98
GBPUSD,buy,2.0,1.27481,1.27371,1.27631,2026.07.21 10:15:00,2026.07.21 10:26:00,-7.0,299.33
GBPUSD,buy,0.5,1.27053,1.26933,1.26948,2026.07.21 20:00:00,2026.07.21 20:04:00,-1.75,-52.45
XAUUSD,buy,1.0,2044.07,2042.07,2042.11843,2026.07.21 13:45:00,2026.07.21 15:20:00,-3.5,-19.52
NAS100,sell,0.5,18545.75,18567.75,18566.60707,2026.07.23 20:15:00,2026.07.23 21:50:00,-1.75,-10.43
GBPUSD,buy,2.0,1.26908,1.26698,1.27409,2026.07.23 13:30:00,2026.07.23 17:30:00,-7.0,1002.88
NAS100,buy,1.0,18558.33,18534.33,18537.89655,2026.07.23 08:45:00,2026.07.23 12:45:00,-3.5,-20.43
XAUUSD,buy,0.5,2045.55,2044.15,2044.20755,2026.07.24 08:30:00,2026.07.24 10:05:00,-1.75,-6.71
NAS100,sell,2.0,18512.82,18551.82,18548.53226,2026.07.24 08:30:00,2026.07.24 18:30:00,-7.0,-71.42
GBPUSD,buy,2.0,1.26872,1.26482,1.26526,2026.07.24 11:45:00,2026.07.24 12:23:00,-7.0,-692.05
NAS100,buy,0.5,18515.69,18480.69,18484.0067,2026.07.24 13:00:00,2026.07.24 13:38:00,-1.75,-15.84
EURUSD,buy,1.0,1.0828,1.079,1.07944,2026.07.27 20:15:00,2026.07.27 20:26:00,-3.5,-335.61
NAS100,buy,1.0,18419.35,18392.35,18396.05961,2026.07.28 20:30:00,2026.07.28 20:34:00,-3.5,-23.29
GBPUSD,buy,2.0,1.26489,1.26129,1.27249,2026.07.30 08:00:00,2026.07.30 18:00:00,-7.0,1519.74
NAS100,sell,1.0,18472.33,18507.33,18504.67173,2026.07.30 16:30:00,2026.07.30 18:05:00,-3.5,-32.34
XAUUSD,sell,1.0,2057.25,2060.75,2060.69154,2026.08.03 07:45:00,2026.08.03 17:45:00,-3.5,-34.42
XAUUSD,buy,0.5,2054.31,2050.81,2051.11426,2026.08.03 21:00:00,2026.08.04 01:00:00,-1.75,-15.98
NAS100,buy,0.5,18534.05,18514.05,18515.46279,2026.08.03 22:15:00,2026.08.04 08:15:00,-1.75,-9.29
EURUSD,buy,0.5,1.07788,1.07648,1.07653,2026.08.03 07:45:00,2026.08.03 08:23:00,-1.75,-67.41
GBPUSD,sell,2.0,1.26599,1.26759,1.2626,2026.08.04 07:30:00,2026.08.04 07:34:00,-7.0,678.18
XAUUSD,sell,1.0,2048.0,2051.9,2051.86607,2026.08.04 10:45:00,2026.08.04 10:56:00,-3.5,-38.66
XAUUSD,buy,0.5,2053.29,2049.89,2057.62741,2026.08.04 11:45:00,2026.08.04 13:20:00,-1.75,21.69
GBPUSD,buy,1.0,1.27498,1.27128,1.27159,2026.08.05 14:30:00,2026.08.05 14:34:00,-3.5,-339.48
GBPUSD,buy,1.0,1.27345,1.27205,1.27209,2026.08.06 20:15:00,2026.08.06 21:50:00,-3.5,-136.01
EURUSD,sell,0.5,1.07623,1.07963,1.06842,2026.08.06 22:30:00,2026.08.07 02:30:00,-1.75,390.39
XAUUSD,buy,0.5,2052.35,2049.75,2049.86946,2026.08.06 09:00:00,2026.08.06 09:38:00,-1.75,-12.4
GBPUSD,buy,2.0,1.26895,1.26505,1.27794,2026.08.07 16:30:00,2026.08.07 16:34:00,-7.0,1797.71
NAS100,sell,1.0,18436.65,18472.65,18469.43949,2026.08.07 16:45:00,2026.08.07 20:45:00,-3.5,-32.79
EURUSD,sell,2.0,1.08202,1.08332,1.08322,2026.08.07 15:00:00,2026.08.07 15:38:00,-7.0,-239.01
NAS100,sell,0.5,18539.18,18564.18,18511.8637,2026.08.07 08:45:00,2026.08.07 08:49:00,-1.75,13.66
NAS100,sell,1.0,18580.93,18613.93,18612.71686,2026.08.10 20:15:00,2026.08.10 20:53:00,-3.5,-31.79
EURUSD,buy,1.0,1.07816,1.07416,1.07433,2026.08.12 10:15:00,2026.08.12 11:50:00,-3.5,-383.43
GBPUSD,buy,2.0,1.27155,1.27015,1.27032,2026.08.12 14:00:00,2026.08.12 14:04:00,-7.0,-245.53
GBPUSD,sell,1.0,1.26406,1.26536,1.26518,2026.08.14 20:00:00,2026.08.14 20:04:00,-3.5,-111.92
GBPUSD,buy,2.0,1.27339,1.26979,1.27015,2026.08.14 14:15:00,2026.08.15 00:15:00,-7.0,-647.79
XAUUSD,buy,0.5,2059.88,2056.38,2056.58548,2026.08.14 07:45:00,2026.08.14 11:45:00,-1.75,-16.47
NAS100,sell,0.5,18427.16,18449.16,18377.86807,2026.08.17 10:30:00,2026.08.17 11:08:00,-1.75,24.65
XAUUSD,sell,2.0,2050.99,2053.09,2052.81965,2026.08.17 20:15:00,2026.08.17 20:53:00,-7.0,-36.59
EURUSD,buy,0.5,1.08137,1.07977,1.08411,2026.08.18 22:15:00,2026.08.19 02:15:00,-1.75,136.99
XAUUSD,buy,0.5,2045.21,2041.41,2053.34439,2026.08.18 13:30:00,2026.08.18 13:34:00,-1.75,40.67
XAUUSD,sell,1.0,2043.2,2046.5,2046.06571,2026.08.18 20:00:00,2026.08.19 00:00:00,-3.5,-28.66
XAUUSD,buy,2.0,2056.78,2055.28,2058.32449,2026.08.18 11:30:00,2026.08.18 11:41:00,-7.0,30.89
NAS100,buy,0.5,18521.32,18491.32,18569.3323,2026.08.19 21:15:00,2026.08.19 21:53:00,-1.75,24.01
NAS100,buy,0.5,18439.63,18413.63,18488.13711,2026.08.20 14:00:00,2026.08.20 18:00:00,-1.75,24.25
GBPUSD,sell,2.0,1.26877,1.27127,1.26505,2026.08.20 21:00:00,2026.08.21 07:00:00,-7.0,743.63
NAS100,sell,2.0,18572.0,18596.0,18593.96224,2026.08.20 22:45:00,2026.08.20 23:23:00,-7.0,-43.92
NAS100,sell,1.0,18485.26,18495.26,18494.20407,2026.08.20 16:30:00,2026.08.20 20:30:00,-3.5,-8.94
XAUUSD,sell,2.0,2055.16,2057.06,2056.84464,2026.08.21 22:45:00,2026.08.22 02:45:00,-7.0,-33.69
NAS100,sell,0.5,18536.06,18562.06,18560.72169,2026.08.21 10:45:00,2026.08.21 10:49:00,-1.75,-12.33
NAS100,buy,0.5,18511.83,18496.83,18498.13146,2026.08.21 08:30:00,2026.08.21 12:30:00,-1.75,-6.85
NAS100,buy,2.0,18407.61,18390.61,18432.29569,2026.08.26 09:00:00,2026.08.26 13:00:00,-7.0,49.37
XAUUSD,buy,0.5,2053.94,2052.24,2056.78459,2026.08.26 15:45:00,2026.08.26 15:56:00,-1.75,14.22
NAS100,buy,1.0,18570.07,18554.07,18554.80795,2026.08.26 13:45:00,2026.08.26 13:56:00,-3.5,-15.26
EURUSD,sell,2.0,1.07646,1.08026,1.07981,2026.08.26 13:30:00,2026.08.26 15:05:00,-7.0,-669.03
XAUUSD,sell,1.0,2059.46,2061.26,2061.02642,2026.08.27 07:00:00,2026.08.27 07:38:00,-3.5,-15.66
GBPUSD,sell,2.0,1.27459,1.27589,1.27575,2026.08.28 14:00:00,2026.08.28 14:11:00,-7.0,-231.49
XAUUSD,buy,0.5,2056.23,2053.63,2053.93069,2026.08.28 16:30:00,2026.08.28 17:08:00,-1.75,-11.5
GBPUSD,sell,1.0,1.27178,1.27298,1.27288,2026.08.28 09:15:00,2026.08.28 09:53:00,-3.5,-109.93
XAUUSD,sell,2.0,2050.76,2053.06,2047.57505,2026.08.31 07:00:00,2026.08.31 11:00:00,-7.0,63.7
EURUSD,buy,0.5,1.07661,1.07281,1.07336,2026.08.31 10:15:00,2026.08.31 10:53:00,-1.75,-162.46
NAS100,buy,2.0,18418.64,18406.64,18406.80256,2026.08.31 20:45:00,2026.08.31 20:49:00,-7.0,-23.67
XAUUSD,sell,2.0,2050.12,2053.82,2053.55389,2026.08.31 15:00:00,2026.08.31 19:00:00,-7.0,-68.68
NAS100,sell,2.0,18451.04,18475.04,18474.27163,2026.09.01 20:15:00,2026.09.01 20:19:00,-7.0,-46.46
GBPUSD,sell,1.0,1.27448,1.27738,1.27087,2026.09.02 11:45:00,2026.09.02 15:45:00,-3.5,360.84
GBPUSD,sell,1.0,1.27138,1.27428,1.27406,2026.09.04 15:15:00,2026.09.04 15:53:00,-3.5,-268.41
GBPUSD,buy,2.0,1.27087,1.26817,1.26848,2026.09.04 07:00:00,2026.09.04 07:04:00,-7.0,-478.28
XAUUSD,buy,2.0,2056.55,2053.25,2053.36618,2026.09.04 11:45:00,2026.09.04 11:49:00,-7.0,-63.68
XAUUSD,buy,2.0,2044.84,2042.34,2042.49154,2026.09.04 21:15:00,2026.09.04 22:50:00,-7.0,-46.97
GBPUSD,sell,0.5,1.27259,1.27659,1.26385,2026.09.07 14:45:00,2026.09.07 15:23:00,-1.75,436.84
NAS100,buy,0.5,18504.01,18493.01,18530.55461,2026.09.07 09:15:00,2026.09.07 19:15:00,-1.75,13.27
NAS100,sell,2.0,18580.58,18591.58,18591.18941,2026.09.08 16:30:00,2026.09.08 18:05:00,-7.0,-21.22
EURUSD,buy,1.0,1.08056,1.07886,1.08478,2026.09.08 10:30:00,2026.09.08 11:08:00,-3.5,422.48
GBPUSD,sell,0.5,1.26877,1.27177,1.27158,2026.09.08 13:15:00,2026.09.08 13:19:00,-1.75,-140.27
GBPUSD,buy,0.5,1.26849,1.26499,1.27371,2026.09.09 09:45:00,2026.09.09 11:20:00,-1.75,260.86
GBPUSD,buy,1.0,1.26873,1.26583,1.26606,2026.09.09 16:15:00,2026.09.09 17:50:00,-3.5,-267.06
GBPUSD,sell,0.5,1.27051,1.27281,1.26736,2026.09.09 21:15:00,2026.09.09 22:50:00,-1.75,157.55
GBPUSD,buy,1.0,1.27307,1.27047,1.27061,2026.09.09 20:00:00,2026.09.10 00:00:00,-3.5,-246.33
XAUUSD,sell,2.0,2042.56,2044.26,2044.03541,2026.09.11 07:15:00,2026.09.11 17:15:00,-7.0,-29.51
NAS100,sell,2.0,18467.67,18501.67,18498.11141,2026.09.11 14:45:00,2026.09.11 14:49:00,-7.0,-60.88
GBPUSD,buy,1.0,1.26405,1.26215,1.26752,2026.09.14 07:15:00,2026.09.14 07:26:00,-3.5,346.71
NAS100,buy,0.5,18530.74,18516.74,18517.71656,2026.09.14 22:30:00,2026.09.14 23:08:00,-1.75,-6.51
XAUUSD,buy,1.0,2044.38,2042.48,2046.78689,2026.09.14 09:45:00,2026.09.14 13:45:00,-3.5,24.07
XAUUSD,buy,0.5,2053.29,2052.09,2052.20639,2026.09.16 20:00:00,2026.09.17 06:00:00,-1.75,-5.42
XAUUSD,buy,0.5,2041.59,2039.29,2043.89502,2026.09.16 13:15:00,2026.09.16 23:15:00,-1.75,11.53
XAUUSD,buy,1.0,2044.29,2040.39,2052.89379,2026.09.16 13:30:00,2026.09.16 15:05:00,-3.5,86.04
XAUUSD,sell,0.5,2058.35,2061.85,2053.67082,2026.09.17 16:00:00,2026.09.18 02:00:00,-1.75,23.4
EURUSD,sell,1.0,1.07853,1.07973,1.07668,2026.09.18 22:00:00,2026.09.18 23:35:00,-3.5,184.94
XAUUSD,buy,0.5,2057.91,2056.71,2059.65003,2026.09.18 11:45:00,2026.09.18 21:45:00,-1.75,8.7
NAS100,buy,1.0,18478.62,18458.62,18520.66776,2026.09.21 11:15:00,2026.09.21 21:15:00,-3.5,42.05
NAS100,buy,1.0,18520.87,18508.87,18541.13491,2026.09.21 08:00:00,2026.09.21 12:00:00,-3.5,20.26
XAUUSD,buy,1.0,2046.08,2043.98,2044.2478,2026.09.22 07:15:00,2026.09.22 17:15:00,-3.5,-18.32
GBPUSD,sell,2.0,1.26663,1.26763,1.26748,2026.09.22 10:30:00,2026.09.22 20:30:00,-7.0,-170.1
XAUUSD,sell,0.5,2045.16,2046.46,2046.40461,2026.09.22 21:00:00,2026.09.23 01:00:00,-1.75,-6.22
XAUUSD,buy,2.0,2052.49,2049.99,2056.5029,2026.09.23 10:15:00,2026.09.23 10:26:00,-7.0,80.26
